Datetime,Price
11-Feb-21,47966
10-Feb-21,44835
9-Feb-21,46486
8-Feb-21,46440
7-Feb-21,38841
6-Feb-21,39257
5-Feb-21,38260
4-Feb-21,36975
3-Feb-21,37677
2-Feb-21,35563
1-Feb-21,33559
31-Jan-21,33141
30-Jan-21,34334
29-Jan-21,34280.7
28-Jan-21,33331
27-Jan-21,30454
26-Jan-21,32519
25-Jan-21,32268.1
24-Jan-21,32298
23-Jan-21,32099
22-Jan-21,33062
21-Jan-21,30873
20-Jan-21,35521.1
19-Jan-21,35958
18-Jan-21,36699
17-Jan-21,35903
16-Jan-21,36055
15-Jan-21,36741
14-Jan-21,39170
13-Jan-21,37375
12-Jan-21,34103
11-Jan-21,35476
10-Jan-21,38226
9-Jan-21,40171
8-Jan-21,40509
7-Jan-21,39407
6-Jan-21,36755
5-Jan-21,33996
4-Jan-21,32020
3-Jan-21,32971
2-Jan-21,32185
1-Jan-21,29346
31-Dec-20,28933
30-Dec-20,28880
29-Dec-20,27315
28-Dec-20,27058
27-Dec-20,26241
26-Dec-20,26412
25-Dec-20,24717
24-Dec-20,23735
23-Dec-20,23234
22-Dec-20,23805
21-Dec-20,22701
20-Dec-20,23427
19-Dec-20,23804
18-Dec-20,23127
17-Dec-20,22806.6
16-Dec-20,21322
15-Dec-20,19459
14-Dec-20,19281
13-Dec-20,19180
12-Dec-20,18810.6
11-Dec-20,18050
10-Dec-20,18260
9-Dec-20,18560
8-Dec-20,18335
7-Dec-20,19196
6-Dec-20,19410
5-Dec-20,19157
4-Dec-20,18657
3-Dec-20,19447
2-Dec-20,19241
1-Dec-20,18807
30-Nov-20,19686
29-Nov-20,18196
28-Nov-20,17746
27-Nov-20,17169.3
26-Nov-20,17219
25-Nov-20,18730
24-Nov-20,19134.8
23-Nov-20,18373
22-Nov-20,18399
21-Nov-20,18660
20-Nov-20,18669
19-Nov-20,17810
18-Nov-20,17773
17-Nov-20,17674.9
16-Nov-20,16710
15-Nov-20,15962.2
14-Nov-20,16058.3
13-Nov-20,16310
12-Nov-20,16294
11-Nov-20,15710
10-Nov-20,15312
9-Nov-20,15329
8-Nov-20,15501
7-Nov-20,14844.1
6-Nov-20,15571.7
5-Nov-20,15574
4-Nov-20,14160
3-Nov-20,14025
2-Nov-20,13563
1-Nov-20,13756
31-Oct-20,13788
30-Oct-20,13568
29-Oct-20,13451
28-Oct-20,13272
27-Oct-20,13626.3
26-Oct-20,13061
25-Oct-20,13037
24-Oct-20,13132
23-Oct-20,12935
22-Oct-20,12988
21-Oct-20,12825
20-Oct-20,11925
19-Oct-20,11757
18-Oct-20,11518
17-Oct-20,11375
16-Oct-20,11325
15-Oct-20,11509
14-Oct-20,11440
13-Oct-20,11442
12-Oct-20,11560
11-Oct-20,11385
10-Oct-20,11308
9-Oct-20,11071
8-Oct-20,10943
7-Oct-20,10687
6-Oct-20,10613.7
5-Oct-20,10807
4-Oct-20,10687
3-Oct-20,10558.6
2-Oct-20,10586
1-Oct-20,10634
30-Sep-20,10794
29-Sep-20,10856
28-Sep-20,10712
27-Sep-20,10803
26-Sep-20,10750
25-Sep-20,10708
24-Sep-20,10754
23-Sep-20,10263
22-Sep-20,10549
21-Sep-20,10434
20-Sep-20,10934.5
19-Sep-20,11099
18-Sep-20,10957.2
17-Sep-20,10959
16-Sep-20,10971.3
15-Sep-20,10797
14-Sep-20,10686
13-Sep-20,10331
12-Sep-20,10458
11-Sep-20,10405
10-Sep-20,10355
9-Sep-20,10240
8-Sep-20,10149.8
7-Sep-20,10397
6-Sep-20,10276
5-Sep-20,10197
4-Sep-20,10484.7
3-Sep-20,10170
2-Sep-20,11408
1-Sep-20,11942
31-Aug-20,11671
30-Aug-20,11729.9
29-Aug-20,11492
28-Aug-20,11545
27-Aug-20,11343
26-Aug-20,11471
25-Aug-20,11341
24-Aug-20,11768
23-Aug-20,11663
22-Aug-20,11685
21-Aug-20,11531
20-Aug-20,11884
19-Aug-20,11778
18-Aug-20,11961.8
17-Aug-20,12300
16-Aug-20,11925
15-Aug-20,11873.4
14-Aug-20,11761
13-Aug-20,11792.5
12-Aug-20,11591
11-Aug-20,11379.8
10-Aug-20,11892
9-Aug-20,11675.7
8-Aug-20,11764
7-Aug-20,11580
6-Aug-20,11759
5-Aug-20,11735.8
4-Aug-20,11184
3-Aug-20,11226.5
2-Aug-20,11053.8
1-Aug-20,11804.7
31-Jul-20,11350
30-Jul-20,11123
29-Jul-20,11117
28-Jul-20,10932
27-Jul-20,11044
26-Jul-20,9948.1
25-Jul-20,9714.9
24-Jul-20,9559.4
23-Jul-20,9615
22-Jul-20,9557.7
21-Jul-20,9402
20-Jul-20,9179.2
19-Jul-20,9231.2
18-Jul-20,9189.1
17-Jul-20,9167.3
16-Jul-20,9149.9
15-Jul-20,9210.1
14-Jul-20,9263.4
13-Jul-20,9252
12-Jul-20,9315.8
11-Jul-20,9246.3
10-Jul-20,9305.7
9-Jul-20,9248.9
8-Jul-20,9447
7-Jul-20,9267.5
6-Jul-20,9361
5-Jul-20,9089.7
4-Jul-20,9147.7
3-Jul-20,9073.9
2-Jul-20,9100
1-Jul-20,9239.9
30-Jun-20,9150.6
29-Jun-20,9194.4
28-Jun-20,9127.8
27-Jun-20,9015.3
26-Jun-20,9173.1
25-Jun-20,9257
24-Jun-20,9312.1
23-Jun-20,9635.1
22-Jun-20,9697.7
21-Jun-20,9298.1
20-Jun-20,9371.3
19-Jun-20,9315.5
18-Jun-20,9400
17-Jun-20,9473.3
16-Jun-20,9534.4
15-Jun-20,9433.9
14-Jun-20,9345.4
13-Jun-20,9480.8
